subjectID,ACR,ACR-L,ACR-R,ALIC,ALIC-L,ALIC-R,AverageFA,BCC,CC,CGC,CGC-L,CGC-R,CGH,CGH-L,CGH-R,CR,CR-L,CR-R,CST,CST-L,CST-R,EC,EC-L,EC-R,FX,FX/ST-L,FX/ST-R,FXST,GCC,IC,IC-L,IC-R,IFO,IFO-L,IFO-R,PCR,PCR-L,PCR-R,PLIC,PLIC-L,PLIC-R,PTR,PTR-L,PTR-R,RLIC,RLIC-L,RLIC-R,SCC,SCR,SCR-L,SCR-R,SFO,SFO-L,SFO-R,SLF,SLF-L,SLF-R,SS,SS-L,SS-R,UNC,UNC-L,UNC-R
sub-FREAD001,0.000570143,0.000574784,0.000565476,0.000384568,0.000373523,0.000394607,0.000534856,0.000356407,0.00037503,0.000415127,0.000396326,0.000435239,0.000520315,0.000539223,0.000501262,0.000521851,0.000523719,0.000520048,0.000419334,0.000420089,0.000418526,0.000500568,0.000486241,0.000514835,0.00104579,0.000462114,0.000455576,0.000459243,0.000497893,0.000373816,0.00036575,0.000381471,0.000486478,0.000492283,0.000481641,0.000522298,0.000523897,0.000520874,0.000329884,0.000324755,0.000334962,0.000470372,0.00048344,0.000457706,0.000415088,0.000407911,0.000421855,0.000303079,0.000467227,0.000464804,0.000469557,0.000422522,0.000422095,0.000422936,0.000474015,0.000479331,0.000468811,0.000521355,0.000513493,0.000529242,0.000682175,0.000734803,0.000645905
sub-FREAD002,0.000522927,0.000526351,0.000519483,0.000383976,0.000376911,0.000390398,0.000536885,0.000388751,0.000377311,0.000391018,0.000370888,0.000412551,0.00046855,0.00046877,0.000468329,0.000470924,0.000469636,0.000472167,0.000405549,0.00038665,0.000425789,0.000490595,0.00048776,0.000493418,0.00144806,0.000459841,0.0004658,0.000462458,0.000449845,0.000364739,0.000360885,0.000368397,0.0004483,0.000422362,0.000469915,0.00046207,0.000446826,0.00047565,0.000305191,0.000302939,0.00030742,0.0004759,0.000479009,0.000472886,0.000415975,0.00041549,0.000416433,0.00030404,0.000416929,0.000415639,0.00041817,0.000389362,0.000390631,0.000388132,0.000464664,0.000473601,0.000455913,0.000496566,0.000489449,0.000503706,0.000562408,0.00053401,0.00058198
sub-FREAD003,0.000579792,0.000597212,0.000562271,0.000424326,0.000425948,0.000422851,0.000594761,0.000708281,0.000582096,0.000531728,0.00052444,0.000539525,0.000607387,0.000563782,0.000651326,0.000526054,0.000536016,0.000516433,0.000455343,0.000420194,0.000492987,0.000539651,0.000541979,0.000537332,0.00107956,0.000557344,0.000529036,0.000544914,0.000552092,0.000402173,0.000408402,0.000396261,0.000567349,0.000596547,0.000543018,0.000556191,0.000565755,0.000547672,0.000337293,0.00034454,0.000330119,0.000555827,0.000585609,0.00052696,0.000456792,0.000468697,0.000445568,0.000432654,0.000449936,0.000450737,0.000449166,0.0004394,0.000448524,0.000430556,0.000524304,0.000531178,0.000517574,0.000569125,0.000569086,0.000569164,0.000652737,0.000742058,0.000591178
sub-FREAD004,0.000502275,0.000467454,0.000536896,0.000345721,0.000336535,0.000354113,0.000427544,0.000326249,0.000309723,0.000371351,0.000366244,0.00037676,0.000227589,0.000256517,0.00019977,0.00047956,0.000463194,0.00049527,0.000396441,0.000409801,0.000382086,0.000469733,0.000468495,0.00047096,0.000358105,0.000364991,0.000379715,0.000371507,0.000299776,0.000355835,0.00034802,0.000363239,0.000434519,0.000427204,0.000440614,0.000483526,0.000485952,0.000481384,0.000343852,0.000338523,0.000349127,0.000404536,0.000385365,0.000422992,0.000380499,0.000371329,0.000389047,0.000294881,0.000452047,0.000447259,0.000456658,0.000429186,0.000426132,0.000432146,0.000458528,0.000456018,0.000460992,0.000439822,0.000443166,0.000436587,0.000328259,0.000381146,0.00029131
sub-FREAD006,0.000548204,0.000564931,0.000531381,0.000343594,0.000350956,0.000336903,0.000437737,0.000427966,0.000399933,0.000421355,0.000412779,0.000430498,0.000214606,0.000207004,0.000222063,0.000511019,0.000520695,0.000501671,0.000345882,0.000351964,0.000339369,0.000406019,0.000426068,0.000385997,0.000293018,0.000339727,0.000264878,0.000306734,0.000426916,0.000351163,0.000356649,0.000345939,0.00041821,0.000416565,0.00041958,0.000508775,0.000511958,0.000505935,0.000334935,0.000329797,0.000340056,0.000499097,0.000496164,0.000501946,0.000378374,0.000395427,0.000362244,0.000340022,0.000470295,0.00047408,0.000466655,0.000422276,0.000434509,0.000410417,0.000442324,0.000438989,0.000445589,0.000407485,0.000443136,0.000371389,0.000639163,0.00071446,0.000587269
sub-FREAD007,0.000647658,0.000638535,0.000656833,0.000424649,0.00042519,0.000424158,0.000538387,0.000462645,0.000444263,0.000478281,0.000485089,0.000470998,0.000379156,0.000399952,0.000358201,0.000595079,0.000583986,0.000605793,0.000381622,0.000356903,0.000408096,0.000566365,0.000551974,0.000580696,0.000694885,0.000450255,0.000451295,0.000450712,0.000485681,0.000431468,0.000429673,0.000433172,0.000527858,0.000511781,0.000541255,0.000566895,0.000552856,0.0005794,0.000395514,0.00039452,0.000396497,0.000555863,0.00052561,0.000585187,0.00048101,0.000476867,0.000484917,0.000386129,0.000550437,0.00053662,0.000563728,0.000507287,0.000512536,0.000502198,0.000550934,0.000546259,0.000555511,0.000499535,0.000454736,0.000544265,0.000583466,0.000571202,0.000591918
sub-FREAD008,0.000523703,0.000547485,0.000499815,0.000356263,0.000367004,0.000346527,0.000429053,0.000368042,0.000338071,0.000394495,0.000383789,0.00040591,0.000332431,0.000328906,0.000335984,0.000510695,0.000515231,0.000506317,0.000382182,0.000366267,0.000399227,0.000378386,0.000368749,0.000388056,0.000502796,0.000348652,0.000364938,0.000355795,0.000335601,0.000372109,0.000375916,0.000368497,0.000429244,0.000393122,0.000458594,0.00051978,0.000492583,0.000544007,0.000345995,0.000342564,0.000349395,0.000473737,0.000471698,0.000475702,0.000419144,0.000425349,0.000413287,0.000298691,0.000491362,0.000489404,0.000493246,0.000464804,0.000476207,0.00045375,0.000441653,0.000436354,0.000446842,0.000491976,0.000479069,0.000504922,0.000511926,0.000451015,0.000553906
sub-FREAD009,0.000585799,0.000573672,0.00059798,0.00044834,0.000462237,0.000435707,0.000477383,0.000393295,0.000399019,0.000464811,0.000470153,0.000459096,0.000404625,0.000382058,0.000427365,0.000536151,0.000532003,0.000540159,0.000405553,0.000410071,0.000400714,0.00053044,0.000531859,0.000529026,0.000625521,0.000458271,0.000426216,0.000444196,0.000469353,0.000419021,0.00042664,0.00041179,0.000479535,0.000478312,0.000480555,0.000500433,0.00049285,0.000507215,0.000377211,0.000381449,0.000373016,0.000446615,0.000461541,0.000432148,0.000439035,0.000446351,0.000432137,0.000351058,0.00049869,0.000503524,0.000494037,0.000562209,0.000595085,0.00053034,0.000483062,0.000494101,0.000472247,0.000468426,0.000475839,0.000460991,0.000531566,0.000473464,0.00057161
sub-FREAD010,0.000618726,0.000628148,0.000609249,0.000342459,0.000349435,0.000336127,0.000429343,0.000368568,0.000378319,0.000415034,0.000434846,0.000393617,0.000201337,0.000136214,0.00026672,0.000555743,0.000560983,0.000550689,0.000373835,0.000375143,0.000372435,0.000435038,0.000433296,0.000436777,0.000372832,0.00039592,0.000292233,0.000350659,0.000429534,0.000349874,0.000350924,0.000348874,0.00046509,0.000423313,0.000499905,0.000553857,0.000556272,0.000551709,0.000327191,0.000321342,0.000332982,0.000463879,0.000447665,0.00047959,0.000384567,0.000388479,0.000380836,0.00035094,0.000485701,0.000485779,0.000485627,0.000364782,0.000392263,0.000337868,0.000463121,0.000474174,0.000452294,0.000423293,0.000413386,0.000433324,0.000567304,0.000642113,0.000515746
sub-FREHC001,0.00048069,0.000487322,0.000474019,0.000320193,0.000315219,0.000324701,0.000418186,0.000267763,0.000267318,0.000333094,0.000313323,0.000354242,0.000327932,0.000364949,0.000291485,0.000451508,0.000452993,0.000450075,0.00038395,0.000393198,0.000374106,0.000405152,0.000387805,0.000422475,0.000336698,0.000353843,0.000365806,0.000359096,0.000282767,0.000337288,0.000335344,0.000339152,0.000404547,0.00036129,0.000440594,0.000441213,0.000434119,0.000447495,0.000316405,0.000313474,0.000319307,0.000364368,0.000373067,0.000355705,0.000380334,0.000382078,0.000378627,0.000254702,0.000423983,0.000422824,0.000425098,0.000346788,0.000351133,0.000342576,0.000412126,0.00042227,0.000402195,0.000401963,0.000397834,0.000406138,0.000402274,0.000405212,0.00040025
sub-FREHC002,0.000600954,0.000611755,0.000590083,0.000416014,0.000435498,0.000398426,0.000444598,0.000341824,0.000323228,0.000396896,0.000382894,0.000411824,0.000361929,0.000330721,0.000389192,0.000530564,0.000539281,0.000522147,0.00040754,0.000427044,0.000386651,0.000521453,0.00051781,0.000525086,0.000286242,0.000401282,0.000393,0.00039766,0.000337607,0.000378259,0.000381432,0.000375262,0.000469528,0.000493389,0.000449644,0.000494857,0.000489784,0.000499344,0.00032768,0.000322639,0.000332647,0.000400828,0.000380762,0.000419449,0.000400158,0.000399462,0.000400812,0.000286905,0.00046946,0.000479968,0.000459331,0.00042658,0.000430456,0.000422862,0.000472604,0.000473728,0.000471496,0.000444442,0.000432786,0.000455828,0.0004733,0.000408306,0.000518094
sub-FREHC003,0.000533811,0.000533778,0.000533844,0.00038969,0.000397209,0.000382856,0.000417343,0.00035271,0.000328438,0.000353876,0.000337545,0.000371345,0.000318867,0.000304697,0.000332819,0.000505885,0.000509609,0.000502293,0.000366935,0.000361079,0.000373206,0.000430034,0.000431783,0.0004283,0.000328779,0.000384829,0.000381434,0.000383344,0.000348711,0.000383528,0.000391784,0.000375689,0.000420413,0.000418509,0.000421999,0.00050928,0.000520274,0.000499486,0.000352259,0.00035644,0.00034812,0.00039354,0.000389669,0.00039726,0.000414471,0.000429452,0.000400329,0.0002792,0.000472627,0.000476367,0.00046904,0.000407012,0.000435491,0.000379404,0.000427714,0.000432652,0.000422881,0.000391566,0.000397014,0.000386084,0.000420787,0.000421835,0.000420065
sub-FREHC004,0.000481299,0.000481754,0.000480843,0.00034433,0.00033948,0.000348738,0.000452685,0.00034546,0.000326387,0.000398897,0.000363964,0.000436264,0.00023935,0.000250062,0.000229417,0.0004701,0.000467557,0.000472544,0.000391726,0.000378965,0.000405392,0.000459043,0.000461617,0.000456475,0.000388999,0.00039957,0.000392292,0.000396374,0.000310429,0.000341138,0.000338339,0.00034378,0.000432264,0.000417716,0.000444388,0.000491128,0.000486722,0.000494998,0.000321637,0.000320649,0.000322616,0.000476179,0.000478652,0.000473807,0.000361283,0.000359154,0.000363254,0.000312758,0.000446772,0.000441926,0.00045143,0.000382761,0.000369171,0.000395935,0.000459602,0.000457625,0.000461537,0.000415749,0.000390163,0.00044086,0.000455698,0.000466929,0.000447958
sub-FREHC005,0.000465654,0.000468676,0.000462623,0.000345811,0.000342582,0.000348747,0.000393023,0.000307122,0.00029914,0.000356367,0.000345724,0.000367831,0.000267125,0.000292055,0.000239576,0.000443188,0.000447041,0.00043947,0.000315834,0.000319679,0.000311717,0.000395946,0.000392287,0.000399588,0.000475848,0.00033154,0.000336527,0.000333737,0.000325806,0.000339907,0.000338718,0.000341034,0.000412797,0.000448014,0.00038345,0.000438278,0.000448486,0.000429185,0.000323076,0.000316528,0.000329558,0.000383842,0.00038244,0.000385211,0.000353946,0.000361977,0.000346405,0.000267177,0.000420414,0.000421425,0.00041944,0.000396305,0.000389913,0.000402502,0.000403672,0.000400318,0.000406957,0.00038448,0.000380144,0.000388843,0.000377171,0.000394031,0.000365551
sub-FREHC006,0.000485878,0.000474509,0.000497313,0.00035909,0.000348014,0.000369157,0.00046522,0.000339591,0.000333495,0.00038057,0.000374318,0.000387257,0.000422697,0.000426587,0.000418777,0.000470103,0.000465149,0.000474885,0.000420713,0.000415175,0.000426643,0.000452416,0.000444908,0.000459898,0.000369583,0.000411768,0.000390186,0.000402292,0.000353691,0.000368515,0.000360547,0.000376078,0.000385634,0.000354276,0.000411766,0.000476737,0.000475879,0.0004775,0.00033636,0.000330255,0.000342403,0.000439902,0.00046993,0.000410297,0.000416181,0.000409801,0.000422197,0.000309229,0.000448908,0.000449049,0.000448773,0.000367663,0.000381909,0.000353853,0.00046804,0.000469067,0.000467034,0.000455613,0.000453313,0.00045792,0.000432613,0.000423234,0.000439077
sub-FREHC007,0.000476732,0.000469088,0.000484421,0.000375892,0.000368732,0.000382401,0.000423771,0.000311611,0.000292135,0.000368647,0.000357914,0.000380127,0.000296589,0.000297407,0.000295778,0.000458852,0.000453652,0.000463872,0.000355472,0.000365978,0.00034422,0.000453271,0.000448581,0.000457941,0.000357896,0.000406459,0.000414807,0.00041013,0.000292495,0.000370456,0.000361157,0.000379282,0.000420946,0.000452048,0.000395028,0.000454608,0.000450901,0.000457905,0.000343354,0.000334402,0.000352216,0.000377937,0.000348077,0.000406466,0.000397125,0.000386195,0.000407431,0.000265079,0.000440905,0.000437235,0.000444436,0.000390528,0.000391574,0.000389515,0.000410279,0.000406159,0.000414309,0.000428776,0.000418858,0.000438724,0.000418056,0.000385291,0.000440637
sub-FREHC008,0.000472844,0.000470969,0.000474727,0.000376583,0.000371203,0.000381466,0.000402435,0.000332768,0.000326523,0.000324872,0.000312234,0.000338438,0.000273032,0.000283522,0.000262542,0.000470418,0.000469116,0.000471675,0.00037088,0.000377235,0.000364074,0.000429571,0.000417174,0.000441882,0.000262733,0.000369581,0.000305965,0.00034176,0.000351477,0.000363054,0.000361924,0.000364125,0.000406101,0.000390204,0.000419349,0.000491368,0.000483615,0.000498254,0.00032977,0.000341649,0.00031801,0.000430851,0.000411075,0.00044988,0.00038904,0.000377536,0.000399825,0.000297884,0.000456836,0.000459784,0.000453997,0.000423621,0.000424012,0.000423242,0.000425256,0.000428849,0.00042176,0.000423788,0.000407349,0.000440201,0.000645345,0.000599986,0.000676606
sub-FREHC009,0.000497586,0.000493356,0.000501841,0.000402676,0.000395982,0.00040876,0.000433968,0.000363558,0.000343122,0.000374072,0.000359364,0.000389806,0.000216776,0.000213618,0.000220599,0.000487134,0.000484592,0.000489589,0.000342591,0.000338687,0.000346771,0.000469071,0.000460842,0.000477272,0.000290558,0.000408771,0.000418501,0.000413043,0.00037471,0.000393826,0.00038843,0.000398949,0.000400391,0.000375826,0.000420861,0.000495785,0.000495393,0.000496135,0.000358863,0.000357402,0.000360309,0.000449333,0.000442797,0.000455603,0.0004264,0.000418689,0.000433679,0.00028982,0.000470887,0.000469127,0.000472579,0.000425418,0.000437237,0.00041396,0.000445622,0.000447684,0.000443604,0.000452821,0.000433459,0.000472003,0.000475316,0.000432917,0.000504937
sub-FREHC010,0.000505544,0.000506282,0.000504801,0.000361563,0.000356808,0.000365885,0.000468785,0.000358324,0.000353955,0.000393824,0.000382331,0.000406117,0.00042098,0.000413523,0.000428495,0.000483627,0.000480072,0.00048706,0.000444476,0.000445577,0.000443285,0.00045787,0.000442796,0.000472881,0.000393762,0.000435804,0.000461421,0.000447052,0.000372259,0.000363654,0.000359763,0.000367348,0.00043159,0.00044358,0.000421599,0.000495,0.000480979,0.000507489,0.000315361,0.00031156,0.000319124,0.000396291,0.000385532,0.000406802,0.000423104,0.000421317,0.000424791,0.000333481,0.000453058,0.000449428,0.000456549,0.000428133,0.000428833,0.000427454,0.000461505,0.000467727,0.000455413,0.000458588,0.000444727,0.00047247,0.000411106,0.000444211,0.00038829
sub-FREHC011,0.00051169,0.00051231,0.000511067,0.000356699,0.000360345,0.000353384,0.000411799,0.000334646,0.000322188,0.000366591,0.000354226,0.000379817,0.000230933,0.000231771,0.000230081,0.000497354,0.000498101,0.000496634,0.000339641,0.000351864,0.000326668,0.000434429,0.000434762,0.0004341,0.000458145,0.00036379,0.000372096,0.000367455,0.000341221,0.000359264,0.000361779,0.000356877,0.000382541,0.000354487,0.000405919,0.000548464,0.000551331,0.000545911,0.000333093,0.0003394,0.00032685,0.000543889,0.000558831,0.000529407,0.00039295,0.000390457,0.0003953,0.00028941,0.000454733,0.0004552,0.000454284,0.000386682,0.000398304,0.000375415,0.000431206,0.000424773,0.000437461,0.000415534,0.000397881,0.000432914,0.000751868,0.00069639,0.000790102
sub-FREHC012,0.00046819,0.000465785,0.000470605,0.000356342,0.000350987,0.000361209,0.000427735,0.000333605,0.000315343,0.000356102,0.000336219,0.000377094,0.000390618,0.000401748,0.000379403,0.00045455,0.000452595,0.000456444,0.000423024,0.000429103,0.000416513,0.000438395,0.000430446,0.000446349,0.000291258,0.000418436,0.000403736,0.000411981,0.000318688,0.000361367,0.000356662,0.000365833,0.000405925,0.000401448,0.000409655,0.000461168,0.000458375,0.00046369,0.000337855,0.000336622,0.000339076,0.000380059,0.000381406,0.000378744,0.000394337,0.000386656,0.000401579,0.000287689,0.000435775,0.000434542,0.000436963,0.000385483,0.000374761,0.000395877,0.00043853,0.000439072,0.000438,0.00041899,0.000419816,0.000418162,0.000442488,0.000431996,0.000449719
sub-FREHC013,0.000489082,0.000493057,0.000485086,0.000331576,0.000333899,0.000329465,0.000406173,0.00032971,0.000319205,0.000345407,0.000331556,0.000360175,0.000294166,0.000253801,0.000334997,0.000479814,0.000482838,0.000476895,0.000354814,0.000359849,0.000349421,0.000427344,0.0004103,0.000444212,0.000313618,0.000358667,0.000322257,0.000342611,0.000363075,0.000341468,0.000330572,0.000351791,0.000438516,0.000455192,0.00042462,0.000504606,0.000507729,0.000501824,0.000322753,0.000312689,0.000332715,0.000427947,0.00044659,0.000409877,0.000373743,0.000349128,0.000396823,0.0002695,0.000456537,0.000458682,0.000454474,0.000388151,0.000385915,0.000390319,0.000436796,0.000438863,0.000434777,0.00042092,0.000381725,0.000459812,0.000444228,0.000493791,0.00041007
sub-FREHC014,0.000528913,0.000522363,0.000535501,0.000381918,0.000371309,0.000391561,0.000516237,0.000358944,0.000353592,0.000388292,0.000366683,0.000411407,0.000457329,0.000459931,0.000454708,0.000495173,0.000494041,0.000496266,0.000447204,0.000442661,0.00045207,0.000492234,0.000481114,0.000503308,0.000583291,0.000469427,0.000459127,0.000464904,0.000388404,0.000387454,0.000380817,0.000393753,0.000476174,0.000490939,0.000463869,0.000491202,0.000484671,0.00049702,0.000364265,0.000363132,0.000365387,0.00049912,0.000505855,0.000492592,0.000420556,0.000411744,0.000428864,0.000318741,0.000459224,0.000466073,0.000452637,0.000423474,0.000429099,0.000418022,0.000476156,0.000480982,0.00047143,0.000489471,0.000490815,0.000488123,0.000457228,0.000366779,0.000519565
sub-FREHC015,0.000530973,0.000521783,0.000540216,0.000359936,0.000359267,0.000360545,0.000507117,0.000324518,0.000328037,0.000400961,0.000368107,0.000436105,0.000460224,0.000459833,0.000460619,0.000491308,0.000485378,0.000497036,0.000483239,0.00049128,0.000474627,0.000489736,0.000492528,0.000486955,0.000650417,0.000445348,0.000466579,0.00045467,0.000368634,0.000364732,0.000361966,0.000367357,0.000484296,0.000489223,0.00048019,0.000503261,0.000507816,0.000499204,0.000324003,0.000321407,0.000326573,0.000474564,0.000478814,0.000470444,0.000417897,0.000413968,0.000421602,0.000300591,0.000440449,0.000432286,0.0004483,0.000373542,0.000381862,0.000365477,0.000446419,0.000450001,0.000442912,0.000501311,0.000501816,0.000500804,0.0004725,0.000475975,0.000470105
sub-FREHC016,0.000590022,0.000594071,0.00058595,0.000399499,0.000399963,0.000399078,0.000555099,0.000396695,0.000392666,0.000428236,0.000411742,0.00044588,0.000504234,0.000486077,0.000522531,0.000555089,0.000557851,0.000552421,0.000496377,0.000522513,0.000468386,0.000504733,0.000494717,0.000514708,0.000812397,0.000487525,0.000492581,0.000489745,0.000435709,0.000418184,0.000409513,0.000426413,0.000418087,0.00039916,0.00043386,0.00057045,0.000571734,0.000569306,0.000367289,0.000364171,0.000370376,0.000539683,0.000536678,0.000542596,0.000497428,0.000474117,0.000519408,0.000352989,0.000507796,0.000509226,0.000506421,0.000393069,0.000401659,0.000384742,0.000524266,0.000524358,0.000524176,0.000570028,0.000555878,0.000584221,0.000587987,0.000594418,0.000583555
